# Legacy assembly/include quarantine inventory (structured)
#
# This file FREEZES the set of legacy NASM `.asm`/`.inc` files the active tree is
# permitted to contain. It is the migration manifest referenced by
# docs/nhl-beyond-zero-trust-todo.md (P0: Repository Enforcement) and
# docs/track1-repo-enforcement-todo.md.
#
# Format (pipe-delimited, one record per line):
#   path | subsystem | risk | status | replacement
#     path        - repo-relative, forward-slash
#     subsystem   - owning area
#     risk        - high | medium | low  (security criticality of migrating it)
#     status      - legacy (migration pending) | migrating | <unused>
#     replacement - target NHL/NexusHLK module, or TBD
#
# Enforcement (tools/security/check_no_asm.ps1 -InventoryGuard):
#   - Any active .asm/.inc NOT listed here (matched on the path column) is a hard
#     failure: new first-class work must be NHL/NexusHLK.
#   - A listed file that no longer exists is a stale entry: prune the line. The
#     inventory only shrinks as migration deletes legacy modules.
#   - A non-comment line without the pipe-delimited columns is malformed.
#
# Excluded by scope (never listed): deprecated/, build/, dist/.
#
# Inventory frozen: 2026-06-04
src/boot/a20.asm | boot | high | legacy | TBD
src/boot/boot.asm | boot | high | legacy | TBD
src/boot/boot_uefi_cursor.inc | boot | high | legacy | TBD
src/boot/boot_uefi_data.inc | boot | high | legacy | TBD
src/boot/boot_uefi_defs.inc | boot | high | legacy | TBD
src/boot/boot_uefi_desktop.inc | boot | high | legacy | TBD
src/boot/boot_uefi_font.inc | boot | high | legacy | TBD
src/boot/boot_uefi_image_tail.inc | boot | high | legacy | TBD
src/boot/boot_uefi_pe_entry.inc | boot | high | legacy | TBD
src/boot/boot_uefi_protocols.inc | boot | high | legacy | TBD
src/boot/boot_uefi_render.inc | boot | high | legacy | TBD
src/boot/boot_uefi_shell.inc | boot | high | legacy | TBD
src/boot/gdt.asm | boot | high | legacy | TBD
src/boot/mbr.asm | boot | high | legacy | TBD
src/boot/paging.asm | boot | high | legacy | TBD
src/boot/stage2.asm | boot | high | legacy | TBD
src/boot/uefi_loader.asm | boot | high | legacy | TBD
src/boot/uefi_loader_data.inc | boot | high | legacy | TBD
src/boot/uefi_loader_defs.inc | boot | high | legacy | TBD
src/boot/uefi_loader_entry.inc | boot | high | legacy | TBD
src/boot/uefi_loader_files.inc | boot | high | legacy | TBD
src/boot/uefi_loader_graphics.inc | boot | high | legacy | TBD
src/boot/uefi_loader_image_tail.inc | boot | high | legacy | TBD
src/boot/uefi_loader_klog.inc | boot | high | legacy | TBD
src/boot/uefi_loader_memory.inc | boot | high | legacy | TBD
src/boot/uefi_loader_paging_exit.inc | boot | high | legacy | TBD
src/boot/uefi_loader_pe.inc | boot | high | legacy | TBD
src/boot/uefi_loader_storage_extents.inc | boot | high | legacy | TBD
src/boot/uefi_loader_trampoline.inc | boot | high | legacy | TBD
src/boot/vesa.asm | boot | high | legacy | TBD
src/diag/uefi_mouse_probe.asm | diag | medium | legacy | TBD
src/include/amdgpu_psp.inc | include | high | legacy | TBD
src/include/app_blob_sig.inc | include | high | legacy | TBD
src/include/app_sysno.inc | include | high | legacy | TBD
src/include/arch_regs.inc | include | high | legacy | TBD
